old_symbol	new_symbol	method_id	role	leaf	tail
n4m_aug_band_perturb_destroy	n4m_augmentation_band_perturb_destroy	augmentation.spectral.band_perturb	augmentation	band_perturb	_destroy
n4m_aug_batch_effect_apply	n4m_augmentation_batch_effect_apply	augmentation.scattering.batch_effect	augmentation	batch_effect	_apply
n4m_aug_batch_effect_create	n4m_augmentation_batch_effect_create	augmentation.scattering.batch_effect	augmentation	batch_effect	_create
n4m_aug_batch_effect_destroy	n4m_augmentation_batch_effect_destroy	augmentation.scattering.batch_effect	augmentation	batch_effect	_destroy
n4m_aug_channel_dropout_apply	n4m_augmentation_channel_dropout_apply	augmentation.spectral.channel_dropout	augmentation	channel_dropout	_apply
n4m_aug_channel_dropout_create	n4m_augmentation_channel_dropout_create	augmentation.spectral.channel_dropout	augmentation	channel_dropout	_create
n4m_aug_channel_dropout_destroy	n4m_augmentation_channel_dropout_destroy	augmentation.spectral.channel_dropout	augmentation	channel_dropout	_destroy
n4m_aug_dead_band_apply	n4m_augmentation_dead_band_apply	augmentation.scattering.dead_band	augmentation	dead_band	_apply
n4m_aug_dead_band_create	n4m_augmentation_dead_band_create	augmentation.scattering.dead_band	augmentation	dead_band	_create
n4m_aug_dead_band_destroy	n4m_augmentation_dead_band_destroy	augmentation.scattering.dead_band	augmentation	dead_band	_destroy
n4m_aug_detector_rolloff_apply	n4m_augmentation_detector_rolloff_apply	augmentation.edge_artifacts.detector_rolloff	augmentation	detector_rolloff	_apply
n4m_aug_detector_rolloff_create	n4m_augmentation_detector_rolloff_create	augmentation.edge_artifacts.detector_rolloff	augmentation	detector_rolloff	_create
n4m_aug_detector_rolloff_destroy	n4m_augmentation_detector_rolloff_destroy	augmentation.edge_artifacts.detector_rolloff	augmentation	detector_rolloff	_destroy
n4m_aug_edge_artifacts_apply	n4m_augmentation_edge_artifacts_apply	augmentation.edge_artifacts.edge_artifacts	augmentation	edge_artifacts	_apply
n4m_aug_edge_artifacts_create	n4m_augmentation_edge_artifacts_create	augmentation.edge_artifacts.edge_artifacts	augmentation	edge_artifacts	_create
n4m_aug_edge_artifacts_destroy	n4m_augmentation_edge_artifacts_destroy	augmentation.edge_artifacts.edge_artifacts	augmentation	edge_artifacts	_destroy
n4m_aug_edge_curve_apply	n4m_augmentation_edge_curvature_apply	augmentation.edge_artifacts.edge_curvature	augmentation	edge_curvature	_apply
n4m_aug_edge_curve_create	n4m_augmentation_edge_curvature_create	augmentation.edge_artifacts.edge_curvature	augmentation	edge_curvature	_create
n4m_aug_edge_curve_destroy	n4m_augmentation_edge_curvature_destroy	augmentation.edge_artifacts.edge_curvature	augmentation	edge_curvature	_destroy
n4m_aug_emsc_distort_apply	n4m_augmentation_emsc_distort_apply	augmentation.scattering.emsc_distort	augmentation	emsc_distort	_apply
n4m_aug_emsc_distort_create	n4m_augmentation_emsc_distort_create	augmentation.scattering.emsc_distort	augmentation	emsc_distort	_create
n4m_aug_emsc_distort_destroy	n4m_augmentation_emsc_distort_destroy	augmentation.scattering.emsc_distort	augmentation	emsc_distort	_destroy
n4m_aug_gauss_jitter_apply	n4m_augmentation_gauss_jitter_apply	augmentation.spectral.gauss_jitter	augmentation	gauss_jitter	_apply
n4m_aug_gauss_jitter_create	n4m_augmentation_gauss_jitter_create	augmentation.spectral.gauss_jitter	augmentation	gauss_jitter	_create
n4m_aug_gauss_jitter_destroy	n4m_augmentation_gauss_jitter_destroy	augmentation.spectral.gauss_jitter	augmentation	gauss_jitter	_destroy
n4m_aug_gaussian_noise_apply	n4m_augmentation_gaussian_noise_apply	augmentation.noise.gaussian_noise	augmentation	gaussian_noise	_apply
n4m_aug_gaussian_noise_create	n4m_augmentation_gaussian_noise_create	augmentation.noise.gaussian_noise	augmentation	gaussian_noise	_create
n4m_aug_gaussian_noise_destroy	n4m_augmentation_gaussian_noise_destroy	augmentation.noise.gaussian_noise	augmentation	gaussian_noise	_destroy
n4m_aug_hetero_noise_apply	n4m_augmentation_hetero_noise_apply	augmentation.noise.hetero_noise	augmentation	hetero_noise	_apply
n4m_aug_hetero_noise_create	n4m_augmentation_hetero_noise_create	augmentation.noise.hetero_noise	augmentation	hetero_noise	_create
n4m_aug_hetero_noise_destroy	n4m_augmentation_hetero_noise_destroy	augmentation.noise.hetero_noise	augmentation	hetero_noise	_destroy
n4m_aug_instrument_broaden_apply	n4m_augmentation_instrument_broaden_apply	augmentation.scattering.instrument_broaden	augmentation	instrument_broaden	_apply
n4m_aug_instrument_broaden_create	n4m_augmentation_instrument_broaden_create	augmentation.scattering.instrument_broaden	augmentation	instrument_broaden	_create
n4m_aug_instrument_broaden_destroy	n4m_augmentation_instrument_broaden_destroy	augmentation.scattering.instrument_broaden	augmentation	instrument_broaden	_destroy
n4m_aug_linear_drift_apply	n4m_augmentation_linear_drift_apply	augmentation.drift.linear_drift	augmentation	linear_drift	_apply
n4m_aug_linear_drift_create	n4m_augmentation_linear_drift_create	augmentation.drift.linear_drift	augmentation	linear_drift	_create
n4m_aug_linear_drift_destroy	n4m_augmentation_linear_drift_destroy	augmentation.drift.linear_drift	augmentation	linear_drift	_destroy
n4m_aug_local_clip_apply	n4m_augmentation_local_clip_apply	augmentation.spectral.local_clip	augmentation	local_clip	_apply
n4m_aug_local_clip_create	n4m_augmentation_local_clip_create	augmentation.spectral.local_clip	augmentation	local_clip	_create
n4m_aug_local_clip_destroy	n4m_augmentation_local_clip_destroy	augmentation.spectral.local_clip	augmentation	local_clip	_destroy
n4m_aug_local_mixup_apply	n4m_augmentation_local_mixup_apply	augmentation.mixup.local_mixup	augmentation	local_mixup	_apply
n4m_aug_local_mixup_create	n4m_augmentation_local_mixup_create	augmentation.mixup.local_mixup	augmentation	local_mixup	_create
n4m_aug_local_mixup_destroy	n4m_augmentation_local_mixup_destroy	augmentation.mixup.local_mixup	augmentation	local_mixup	_destroy
n4m_aug_local_warp_apply	n4m_augmentation_local_warp_apply	augmentation.wavelength.local_warp	augmentation	local_warp	_apply
n4m_aug_local_warp_create	n4m_augmentation_local_warp_create	augmentation.wavelength.local_warp	augmentation	local_warp	_create
n4m_aug_local_warp_destroy	n4m_augmentation_local_warp_destroy	augmentation.wavelength.local_warp	augmentation	local_warp	_destroy
n4m_aug_magnitude_warp_apply	n4m_augmentation_magnitude_warp_apply	augmentation.spectral.magnitude_warp	augmentation	magnitude_warp	_apply
n4m_aug_magnitude_warp_create	n4m_augmentation_magnitude_warp_create	augmentation.spectral.magnitude_warp	augmentation	magnitude_warp	_create
n4m_aug_magnitude_warp_destroy	n4m_augmentation_magnitude_warp_destroy	augmentation.spectral.magnitude_warp	augmentation	magnitude_warp	_destroy
n4m_aug_mixup_apply	n4m_augmentation_mixup_apply	augmentation.mixup.mixup	augmentation	mixup	_apply
n4m_aug_mixup_create	n4m_augmentation_mixup_create	augmentation.mixup.mixup	augmentation	mixup	_create
n4m_aug_mixup_destroy	n4m_augmentation_mixup_destroy	augmentation.mixup.mixup	augmentation	mixup	_destroy
n4m_aug_moisture_apply	n4m_augmentation_moisture_apply	augmentation.environmental.moisture	augmentation	moisture	_apply
n4m_aug_moisture_create	n4m_augmentation_moisture_create	augmentation.environmental.moisture	augmentation	moisture	_create
n4m_aug_moisture_destroy	n4m_augmentation_moisture_destroy	augmentation.environmental.moisture	augmentation	moisture	_destroy
n4m_aug_multiplicative_noise_apply	n4m_augmentation_multiplicative_noise_apply	augmentation.noise.multiplicative_noise	augmentation	multiplicative_noise	_apply
n4m_aug_multiplicative_noise_create	n4m_augmentation_multiplicative_noise_create	augmentation.noise.multiplicative_noise	augmentation	multiplicative_noise	_create
n4m_aug_multiplicative_noise_destroy	n4m_augmentation_multiplicative_noise_destroy	augmentation.noise.multiplicative_noise	augmentation	multiplicative_noise	_destroy
n4m_aug_particle_size_apply	n4m_augmentation_particle_size_apply	augmentation.scattering.particle_size	augmentation	particle_size	_apply
n4m_aug_particle_size_create	n4m_augmentation_particle_size_create	augmentation.scattering.particle_size	augmentation	particle_size	_create
n4m_aug_particle_size_destroy	n4m_augmentation_particle_size_destroy	augmentation.scattering.particle_size	augmentation	particle_size	_destroy
n4m_aug_path_length_apply	n4m_augmentation_path_length_apply	augmentation.drift.path_length	augmentation	path_length	_apply
n4m_aug_path_length_create	n4m_augmentation_path_length_create	augmentation.drift.path_length	augmentation	path_length	_create
n4m_aug_path_length_destroy	n4m_augmentation_path_length_destroy	augmentation.drift.path_length	augmentation	path_length	_destroy
n4m_aug_poly_drift_apply	n4m_augmentation_poly_drift_apply	augmentation.drift.poly_drift	augmentation	poly_drift	_apply
n4m_aug_poly_drift_create	n4m_augmentation_poly_drift_create	augmentation.drift.poly_drift	augmentation	poly_drift	_create
n4m_aug_poly_drift_destroy	n4m_augmentation_poly_drift_destroy	augmentation.drift.poly_drift	augmentation	poly_drift	_destroy
n4m_aug_random_x_op_apply	n4m_augmentation_random_x_op_apply	augmentation.random.random_x_op	augmentation	random_x_op	_apply
n4m_aug_random_x_op_create	n4m_augmentation_random_x_op_create	augmentation.random.random_x_op	augmentation	random_x_op	_create
n4m_aug_random_x_op_destroy	n4m_augmentation_random_x_op_destroy	augmentation.random.random_x_op	augmentation	random_x_op	_destroy
n4m_aug_rotate_translate_apply	n4m_augmentation_rotate_translate_apply	augmentation.random.rotate_translate	augmentation	rotate_translate	_apply
n4m_aug_rotate_translate_create	n4m_augmentation_rotate_translate_create	augmentation.random.rotate_translate	augmentation	rotate_translate	_create
n4m_aug_rotate_translate_destroy	n4m_augmentation_rotate_translate_destroy	augmentation.random.rotate_translate	augmentation	rotate_translate	_destroy
n4m_aug_scatter_sim_apply	n4m_augmentation_scatter_sim_msc_apply	augmentation.scattering.scatter_sim_msc	augmentation	scatter_sim_msc	_apply
n4m_aug_scatter_sim_create	n4m_augmentation_scatter_sim_msc_create	augmentation.scattering.scatter_sim_msc	augmentation	scatter_sim_msc	_create
n4m_aug_scatter_sim_destroy	n4m_augmentation_scatter_sim_msc_destroy	augmentation.scattering.scatter_sim_msc	augmentation	scatter_sim_msc	_destroy
n4m_aug_spike_noise_apply	n4m_augmentation_spike_noise_apply	augmentation.noise.spike_noise	augmentation	spike_noise	_apply
n4m_aug_spike_noise_create	n4m_augmentation_spike_noise_create	augmentation.noise.spike_noise	augmentation	spike_noise	_create
n4m_aug_spike_noise_destroy	n4m_augmentation_spike_noise_destroy	augmentation.noise.spike_noise	augmentation	spike_noise	_destroy
n4m_aug_spline_curve_simplify_apply	n4m_augmentation_spline_curve_simplification_apply	augmentation.splines.spline_curve_simplification	augmentation	spline_curve_simplification	_apply
n4m_aug_spline_curve_simplify_create	n4m_augmentation_spline_curve_simplification_create	augmentation.splines.spline_curve_simplification	augmentation	spline_curve_simplification	_create
n4m_aug_spline_curve_simplify_destroy	n4m_augmentation_spline_curve_simplification_destroy	augmentation.splines.spline_curve_simplification	augmentation	spline_curve_simplification	_destroy
n4m_aug_spline_smooth_apply	n4m_augmentation_spline_smoothing_apply	augmentation.splines.spline_smoothing	augmentation	spline_smoothing	_apply
n4m_aug_spline_smooth_create	n4m_augmentation_spline_smoothing_create	augmentation.splines.spline_smoothing	augmentation	spline_smoothing	_create
n4m_aug_spline_smooth_destroy	n4m_augmentation_spline_smoothing_destroy	augmentation.splines.spline_smoothing	augmentation	spline_smoothing	_destroy
n4m_aug_spline_x_perturb_apply	n4m_augmentation_spline_x_perturbations_apply	augmentation.splines.spline_x_perturbations	augmentation	spline_x_perturbations	_apply
n4m_aug_spline_x_perturb_create	n4m_augmentation_spline_x_perturbations_create	augmentation.splines.spline_x_perturbations	augmentation	spline_x_perturbations	_create
n4m_aug_spline_x_perturb_destroy	n4m_augmentation_spline_x_perturbations_destroy	augmentation.splines.spline_x_perturbations	augmentation	spline_x_perturbations	_destroy
n4m_aug_spline_x_simplify_apply	n4m_augmentation_spline_x_simplification_apply	augmentation.splines.spline_x_simplification	augmentation	spline_x_simplification	_apply
n4m_aug_spline_x_simplify_create	n4m_augmentation_spline_x_simplification_create	augmentation.splines.spline_x_simplification	augmentation	spline_x_simplification	_create
n4m_aug_spline_x_simplify_destroy	n4m_augmentation_spline_x_simplification_destroy	augmentation.splines.spline_x_simplification	augmentation	spline_x_simplification	_destroy
n4m_aug_spline_y_perturb_apply	n4m_augmentation_spline_y_perturbations_apply	augmentation.splines.spline_y_perturbations	augmentation	spline_y_perturbations	_apply
n4m_aug_spline_y_perturb_create	n4m_augmentation_spline_y_perturbations_create	augmentation.splines.spline_y_perturbations	augmentation	spline_y_perturbations	_create
n4m_aug_spline_y_perturb_destroy	n4m_augmentation_spline_y_perturbations_destroy	augmentation.splines.spline_y_perturbations	augmentation	spline_y_perturbations	_destroy
n4m_aug_stray_light_apply	n4m_augmentation_stray_light_apply	augmentation.edge_artifacts.stray_light	augmentation	stray_light	_apply
n4m_aug_stray_light_create	n4m_augmentation_stray_light_create	augmentation.edge_artifacts.stray_light	augmentation	stray_light	_create
n4m_aug_stray_light_destroy	n4m_augmentation_stray_light_destroy	augmentation.edge_artifacts.stray_light	augmentation	stray_light	_destroy
n4m_aug_temperature_apply	n4m_augmentation_temperature_apply	augmentation.environmental.temperature	augmentation	temperature	_apply
n4m_aug_temperature_create	n4m_augmentation_temperature_create	augmentation.environmental.temperature	augmentation	temperature	_create
n4m_aug_temperature_destroy	n4m_augmentation_temperature_destroy	augmentation.environmental.temperature	augmentation	temperature	_destroy
n4m_aug_truncated_peak_apply	n4m_augmentation_truncated_peak_apply	augmentation.edge_artifacts.truncated_peak	augmentation	truncated_peak	_apply
n4m_aug_truncated_peak_create	n4m_augmentation_truncated_peak_create	augmentation.edge_artifacts.truncated_peak	augmentation	truncated_peak	_create
n4m_aug_truncated_peak_destroy	n4m_augmentation_truncated_peak_destroy	augmentation.edge_artifacts.truncated_peak	augmentation	truncated_peak	_destroy
n4m_aug_unsharp_mask_apply	n4m_augmentation_unsharp_mask_apply	augmentation.spectral.unsharp_mask	augmentation	unsharp_mask	_apply
n4m_aug_unsharp_mask_create	n4m_augmentation_unsharp_mask_create	augmentation.spectral.unsharp_mask	augmentation	unsharp_mask	_create
n4m_aug_unsharp_mask_destroy	n4m_augmentation_unsharp_mask_destroy	augmentation.spectral.unsharp_mask	augmentation	unsharp_mask	_destroy
n4m_aug_wavelength_shift_apply	n4m_augmentation_wavelength_shift_apply	augmentation.wavelength.wavelength_shift	augmentation	wavelength_shift	_apply
n4m_aug_wavelength_shift_create	n4m_augmentation_wavelength_shift_create	augmentation.wavelength.wavelength_shift	augmentation	wavelength_shift	_create
n4m_aug_wavelength_shift_destroy	n4m_augmentation_wavelength_shift_destroy	augmentation.wavelength.wavelength_shift	augmentation	wavelength_shift	_destroy
n4m_aug_wavelength_stretch_apply	n4m_augmentation_wavelength_stretch_apply	augmentation.wavelength.wavelength_stretch	augmentation	wavelength_stretch	_apply
n4m_aug_wavelength_stretch_create	n4m_augmentation_wavelength_stretch_create	augmentation.wavelength.wavelength_stretch	augmentation	wavelength_stretch	_create
n4m_aug_wavelength_stretch_destroy	n4m_augmentation_wavelength_stretch_destroy	augmentation.wavelength.wavelength_stretch	augmentation	wavelength_stretch	_destroy
n4m_bagging_pls_fit	n4m_ensemble_bagging_pls_fit	models.ensembles.bagging_pls	ensemble	bagging_pls	_fit
n4m_bipls_select	n4m_feature_selection_bipls_select	selection.bipls	feature_selection	bipls	_select
n4m_boosting_pls_fit	n4m_ensemble_boosting_pls_fit	models.ensembles.boosting_pls	ensemble	boosting_pls	_fit
n4m_bve_select	n4m_feature_selection_bve_select	selection.bve	feature_selection	bve	_select
n4m_cars_select	n4m_feature_selection_cars_select	selection.cars	feature_selection	cars	_select
n4m_continuum_regression_fit	n4m_estimators_continuum_regression_fit	models.regularized.continuum_regression	estimators	continuum_regression	_fit
n4m_cppls_fit	n4m_estimators_cppls_fit	models.pls.cppls	estimators	cppls	_fit
n4m_di_pls_fit	n4m_domain_adaptation_di_pls_fit	models.transfer.di_pls	domain_adaptation	di_pls	_fit
n4m_ds_fit	n4m_domain_adaptation_ds_fit	models.transfer.ds	domain_adaptation	ds	_fit
n4m_ecr_fit	n4m_estimators_ecr_fit	models.specialized.ecr	estimators	ecr	_fit
n4m_emcuve_select	n4m_feature_selection_emcuve_select	selection.emcuve	feature_selection	emcuve	_select
n4m_filter_composite_add_leverage	n4m_outlier_detection_composite_add_leverage	filters.composite	outlier_detection	composite	_add_leverage
n4m_filter_composite_add_quality	n4m_outlier_detection_composite_add_quality	filters.composite	outlier_detection	composite	_add_quality
n4m_filter_composite_apply	n4m_outlier_detection_composite_apply	filters.composite	outlier_detection	composite	_apply
n4m_filter_composite_create	n4m_outlier_detection_composite_create	filters.composite	outlier_detection	composite	_create
n4m_filter_composite_destroy	n4m_outlier_detection_composite_destroy	filters.composite	outlier_detection	composite	_destroy
n4m_filter_correlation_create	n4m_feature_selection_correlation_create	filters.correlation	feature_selection	correlation	_create
n4m_filter_correlation_destroy	n4m_feature_selection_correlation_destroy	filters.correlation	feature_selection	correlation	_destroy
n4m_filter_correlation_fit	n4m_feature_selection_correlation_fit	filters.correlation	feature_selection	correlation	_fit
n4m_filter_correlation_is_fitted	n4m_feature_selection_correlation_is_fitted	filters.correlation	feature_selection	correlation	_is_fitted
n4m_filter_correlation_output_cols	n4m_feature_selection_correlation_output_cols	filters.correlation	feature_selection	correlation	_output_cols
n4m_filter_correlation_transform	n4m_feature_selection_correlation_transform	filters.correlation	feature_selection	correlation	_transform
n4m_filter_leverage_apply	n4m_outlier_detection_high_leverage_apply	filters.high_leverage	outlier_detection	high_leverage	_apply
n4m_filter_leverage_create	n4m_outlier_detection_high_leverage_create	filters.high_leverage	outlier_detection	high_leverage	_create
n4m_filter_leverage_destroy	n4m_outlier_detection_high_leverage_destroy	filters.high_leverage	outlier_detection	high_leverage	_destroy
n4m_filter_leverage_fit	n4m_outlier_detection_high_leverage_fit	filters.high_leverage	outlier_detection	high_leverage	_fit
n4m_filter_leverage_is_fitted	n4m_outlier_detection_high_leverage_is_fitted	filters.high_leverage	outlier_detection	high_leverage	_is_fitted
n4m_filter_leverage_threshold	n4m_outlier_detection_high_leverage_threshold	filters.high_leverage	outlier_detection	high_leverage	_threshold
n4m_filter_quality_apply	n4m_outlier_detection_spectral_quality_apply	filters.spectral_quality	outlier_detection	spectral_quality	_apply
n4m_filter_quality_create	n4m_outlier_detection_spectral_quality_create	filters.spectral_quality	outlier_detection	spectral_quality	_create
n4m_filter_quality_destroy	n4m_outlier_detection_spectral_quality_destroy	filters.spectral_quality	outlier_detection	spectral_quality	_destroy
n4m_filter_variance_create	n4m_feature_selection_variance_create	filters.variance	feature_selection	variance	_create
n4m_filter_variance_destroy	n4m_feature_selection_variance_destroy	filters.variance	feature_selection	variance	_destroy
n4m_filter_variance_fit	n4m_feature_selection_variance_fit	filters.variance	feature_selection	variance	_fit
n4m_filter_variance_is_fitted	n4m_feature_selection_variance_is_fitted	filters.variance	feature_selection	variance	_is_fitted
n4m_filter_variance_output_cols	n4m_feature_selection_variance_output_cols	filters.variance	feature_selection	variance	_output_cols
n4m_filter_variance_transform	n4m_feature_selection_variance_transform	filters.variance	feature_selection	variance	_transform
n4m_filter_x_outlier_apply	n4m_outlier_detection_x_outlier_apply	filters.x_outlier	outlier_detection	x_outlier	_apply
n4m_filter_x_outlier_create	n4m_outlier_detection_x_outlier_create	filters.x_outlier	outlier_detection	x_outlier	_create
n4m_filter_x_outlier_destroy	n4m_outlier_detection_x_outlier_destroy	filters.x_outlier	outlier_detection	x_outlier	_destroy
n4m_filter_x_outlier_fit	n4m_outlier_detection_x_outlier_fit	filters.x_outlier	outlier_detection	x_outlier	_fit
n4m_filter_x_outlier_is_fitted	n4m_outlier_detection_x_outlier_is_fitted	filters.x_outlier	outlier_detection	x_outlier	_is_fitted
n4m_filter_y_outlier_apply	n4m_outlier_detection_y_outlier_apply	filters.y_outlier	outlier_detection	y_outlier	_apply
n4m_filter_y_outlier_create	n4m_outlier_detection_y_outlier_create	filters.y_outlier	outlier_detection	y_outlier	_create
n4m_filter_y_outlier_destroy	n4m_outlier_detection_y_outlier_destroy	filters.y_outlier	outlier_detection	y_outlier	_destroy
n4m_filter_y_outlier_fit	n4m_outlier_detection_y_outlier_fit	filters.y_outlier	outlier_detection	y_outlier	_fit
n4m_filter_y_outlier_is_fitted	n4m_outlier_detection_y_outlier_is_fitted	filters.y_outlier	outlier_detection	y_outlier	_is_fitted
n4m_fused_sparse_pls_fit	n4m_estimators_fused_sparse_pls_fit	models.sparse.fused_sparse_pls	estimators	fused_sparse_pls	_fit
n4m_ga_select	n4m_feature_selection_ga_select	selection.ga	feature_selection	ga	_select
n4m_gpr_pls_fit	n4m_estimators_gpr_pls_fit	models.specialized.gpr_pls	estimators	gpr_pls	_fit
n4m_group_sparse_pls_fit	n4m_estimators_group_sparse_pls_fit	models.sparse.group_sparse_pls	estimators	group_sparse_pls	_fit
n4m_interval_generator_create	n4m_feature_selection_interval_generator_create	selection.interval	feature_selection	interval	_generator_create
n4m_interval_generator_destroy	n4m_feature_selection_interval_generator_destroy	selection.interval	feature_selection	interval	_generator_destroy
n4m_interval_generator_fit	n4m_feature_selection_interval_generator_fit	selection.interval	feature_selection	interval	_generator_fit
n4m_interval_generator_is_fitted	n4m_feature_selection_interval_generator_is_fitted	selection.interval	feature_selection	interval	_generator_is_fitted
n4m_interval_generator_output_cols	n4m_feature_selection_interval_generator_output_cols	selection.interval	feature_selection	interval	_generator_output_cols
n4m_interval_generator_transform	n4m_feature_selection_interval_generator_transform	selection.interval	feature_selection	interval	_generator_transform
n4m_interval_select	n4m_feature_selection_interval_select	selection.interval	feature_selection	interval	_select
n4m_ipw_select	n4m_feature_selection_ipw_select	selection.ipw	feature_selection	ipw	_select
