old_symbol	new_symbol	method_id	role	leaf	tail
n4m_aom_chain_fixed_fit_run	n4m_model_selection_aom_chain_fixed_fit_run	aom_pop.aom_chain_fixed_fit	model_selection	aom_chain_fixed_fit	_run
n4m_aom_chain_sweep_run	n4m_model_selection_aom_chain_sweep_run	aom_pop.aom_chain_sweep	model_selection	aom_chain_sweep	_run
n4m_aom_global_result_destroy	n4m_model_selection_aom_pls_result_destroy	aom_pop.aom_pls	model_selection	aom_pls	_result_destroy
n4m_aom_global_result_get_best_score	n4m_model_selection_aom_pls_result_get_best_score	aom_pop.aom_pls	model_selection	aom_pls	_result_get_best_score
n4m_aom_global_result_get_coefficients	n4m_model_selection_aom_pls_result_get_coefficients	aom_pop.aom_pls	model_selection	aom_pls	_result_get_coefficients
n4m_aom_global_result_get_input_coefficients	n4m_model_selection_aom_pls_result_get_input_coefficients	aom_pop.aom_pls	model_selection	aom_pls	_result_get_input_coefficients
n4m_aom_global_result_get_intercept	n4m_model_selection_aom_pls_result_get_intercept	aom_pop.aom_pls	model_selection	aom_pls	_result_get_intercept
n4m_aom_global_result_get_max_components	n4m_model_selection_aom_pls_result_get_max_components	aom_pop.aom_pls	model_selection	aom_pls	_result_get_max_components
n4m_aom_global_result_get_n_operators	n4m_model_selection_aom_pls_result_get_n_operators	aom_pop.aom_pls	model_selection	aom_pls	_result_get_n_operators
n4m_aom_global_result_get_operator_kinds	n4m_model_selection_aom_pls_result_get_operator_kinds	aom_pop.aom_pls	model_selection	aom_pls	_result_get_operator_kinds
n4m_aom_global_result_get_operator_scores	n4m_model_selection_aom_pls_result_get_operator_scores	aom_pop.aom_pls	model_selection	aom_pls	_result_get_operator_scores
n4m_aom_global_result_get_predictions	n4m_model_selection_aom_pls_result_get_predictions	aom_pop.aom_pls	model_selection	aom_pls	_result_get_predictions
n4m_aom_global_result_get_rmse_curves	n4m_model_selection_aom_pls_result_get_rmse_curves	aom_pop.aom_pls	model_selection	aom_pls	_result_get_rmse_curves
n4m_aom_global_result_get_selected_n_components	n4m_model_selection_aom_pls_result_get_selected_n_components	aom_pop.aom_pls	model_selection	aom_pls	_result_get_selected_n_components
n4m_aom_global_result_get_selected_operator_index	n4m_model_selection_aom_pls_result_get_selected_operator_index	aom_pop.aom_pls	model_selection	aom_pls	_result_get_selected_operator_index
n4m_aom_global_select	n4m_model_selection_aom_pls_select	aom_pop.aom_pls	model_selection	aom_pls	_select
n4m_aom_operator_pls_stack_fit	n4m_ensemble_aom_operator_pls_stack_fit	aom_pop.operator_pls_stack	ensemble	aom_operator_pls_stack	_fit
n4m_aom_per_component_result_destroy	n4m_model_selection_pop_pls_result_destroy	aom_pop.pop_pls	model_selection	pop_pls	_result_destroy
n4m_aom_per_component_result_get_best_score	n4m_model_selection_pop_pls_result_get_best_score	aom_pop.pop_pls	model_selection	pop_pls	_result_get_best_score
n4m_aom_per_component_result_get_coefficients	n4m_model_selection_pop_pls_result_get_coefficients	aom_pop.pop_pls	model_selection	pop_pls	_result_get_coefficients
n4m_aom_per_component_result_get_component_scores	n4m_model_selection_pop_pls_result_get_component_scores	aom_pop.pop_pls	model_selection	pop_pls	_result_get_component_scores
n4m_aom_per_component_result_get_input_coefficients	n4m_model_selection_pop_pls_result_get_input_coefficients	aom_pop.pop_pls	model_selection	pop_pls	_result_get_input_coefficients
n4m_aom_per_component_result_get_intercept	n4m_model_selection_pop_pls_result_get_intercept	aom_pop.pop_pls	model_selection	pop_pls	_result_get_intercept
n4m_aom_per_component_result_get_max_components	n4m_model_selection_pop_pls_result_get_max_components	aom_pop.pop_pls	model_selection	pop_pls	_result_get_max_components
n4m_aom_per_component_result_get_n_operators	n4m_model_selection_pop_pls_result_get_n_operators	aom_pop.pop_pls	model_selection	pop_pls	_result_get_n_operators
n4m_aom_per_component_result_get_operator_kinds	n4m_model_selection_pop_pls_result_get_operator_kinds	aom_pop.pop_pls	model_selection	pop_pls	_result_get_operator_kinds
n4m_aom_per_component_result_get_predictions	n4m_model_selection_pop_pls_result_get_predictions	aom_pop.pop_pls	model_selection	pop_pls	_result_get_predictions
n4m_aom_per_component_result_get_prefix_scores	n4m_model_selection_pop_pls_result_get_prefix_scores	aom_pop.pop_pls	model_selection	pop_pls	_result_get_prefix_scores
n4m_aom_per_component_result_get_selected_n_components	n4m_model_selection_pop_pls_result_get_selected_n_components	aom_pop.pop_pls	model_selection	pop_pls	_result_get_selected_n_components
n4m_aom_per_component_result_get_selected_operator_indices	n4m_model_selection_pop_pls_result_get_selected_operator_indices	aom_pop.pop_pls	model_selection	pop_pls	_result_get_selected_operator_indices
n4m_aom_per_component_select	n4m_model_selection_pop_pls_select	aom_pop.pop_pls	model_selection	pop_pls	_select
n4m_aom_preprocess_fit	n4m_model_selection_aom_preprocessing_fit	aom_pop.aom_preprocessing	model_selection	aom_preprocessing	_fit
n4m_aom_ridge_blender_fit	n4m_ensemble_aom_ridge_blender_fit	aom_pop.ridge_blender	ensemble	aom_ridge_blender	_fit
n4m_aom_robust_hpo_fit	n4m_model_selection_robust_hpo_fit	aom_pop.robust_hpo	model_selection	robust_hpo	_fit
n4m_aom_sweep_run	n4m_model_selection_aom_sweep_run	aom_pop.aom_sweep	model_selection	aom_sweep	_run
n4m_approximate_press_compute	n4m_metrics_approximate_press_compute	diagnostics.approximate_press	metrics	approximate_press	_compute
n4m_aug_band_mask_apply	n4m_augmentation_band_mask_apply	augmentation.spectral.band_mask	augmentation	band_mask	_apply
n4m_aug_band_mask_create	n4m_augmentation_band_mask_create	augmentation.spectral.band_mask	augmentation	band_mask	_create
n4m_aug_band_mask_destroy	n4m_augmentation_band_mask_destroy	augmentation.spectral.band_mask	augmentation	band_mask	_destroy
n4m_aug_band_perturb_apply	n4m_augmentation_band_perturb_apply	augmentation.spectral.band_perturb	augmentation	band_perturb	_apply
n4m_aug_band_perturb_create	n4m_augmentation_band_perturb_create	augmentation.spectral.band_perturb	augmentation	band_perturb	_create
